Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",MULTI-THERAPEUTIC SERVICES INC,22-Dec-14,PO509882-V2,500
DEPARTMENT OF HEALTH,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",Public Performance Management,26-Jan-15,PO511060-V2,"21,641.00"
DEPARTMENT OF TRANSPORTATION,9100600:Carpentry Maintenance and Repair Services,"BOCALJE SERVICES, INC.",23-Feb-15,PO515954,"35,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",MARION FREEMAN,24-Oct-14,PO508309,"10,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",STUDIO THEATRE,4-Nov-14,PO509307,"30,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)","CapitalBop, Inc.",20-Nov-14,PO510881,"6,000.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO508267-V2,"115,728.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),Comprehensive Speech and Language,17-Nov-14,PO510476,"20,000.00"
OFFICE OF UNIFIED COMMUNICATIONS,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",10-Dec-14,PO507407-V2,"76,550.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9103957:JANITORIAL/CUSTODIAL SERVICES,Total Healthcare Solutions,16-Dec-14,PO512769,552.6
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6001942:CALCULATORS, ELECTRONIC, DISPLAY TYPE, PROGRAMMABLE, COMPUTER LINKED (BRAND LISTED OR EQUAL)",APPLE COMPUTER INC,6-Nov-14,PO509671,89.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2007084:SHIRTS, TEE, 100% COTTON OR POLY/COTTON BLEND, ASSORTED COLORS",MORGANS INC,6-Nov-14,PO509665,"1,766.25"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9248000:Tutoring,"Imagine Learning, Inc.",16-Dec-14,PO512845,"49,950.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,12.63
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9636400:Registration Fees,NATIONAL COUNCIL OF TEACHERS,30-Oct-14,PO508923,273
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9528400:Supplemental Food Services,GREAT AMERICAN CORP,9-Feb-15,PO515347,"2,625.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511083,59.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008578:SHIRTS, UNIFORM, MEN'S AND WOMEN'S, LONG AND SHORT SLEEVE, W/FOREST GREEN EPAULETS, BADGE TABS, STRETCH POPLIN (62/38 POLYESTER/COMBED COTTON)",MORGANS INC,29-Jan-15,PO514851,59.85
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7255884:TELECOMMUNICATIONS DEVICE FOR THE DEAF,SCHOOL HEALTH CORPORATION,12-Nov-14,PO510067,193.27
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,12.79
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,59.97
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9616800:Sports Professionals Services (Including Sports and Recreational Programs and Referee/Umpire Services),"M&D TIMING, LLC",20-Jan-15,PO514357,"1,570.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,19.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1002100:Freight and Cargo Containers (Shipping) (See Class 640 For Boxes),"HI-TECH SOLUTION, INC.",13-Nov-14,PO510261,55
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,8.75
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4650100:Analyzer Equipment, Medical (Not Otherwise Classified)",POLAR ELECTRO INC,19-Dec-14,PO513173,"11,582.50"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LASER ART INC,12-Feb-15,PO515563,66.98
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,24.54
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",SCHOOL SPECIALTY,16-Jan-15,PO514252,5.3
BOARD OF ELECTIONS,"9716500:Room Rental for Conferences, Seminars, etc.",FRIENDSHIP BAPTIST CHURCH,29-Oct-14,PO508719,100
DEPARTMENT OF FORENSICS SCIENCES,"1757470:REAGENTS, CLEANING",VWR INTERNATIONAL LLC,23-Feb-15,PO515965,"23,576.63"
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,"Atlantic Tactical, Inc",27-Jan-15,PO514654,214
METROPOLITAN POLICE DEPARTMENT,9618600:Veterinary Services,"Butler Animal Health Supply, LLC; dba Henry Schein Animal Health",4-Dec-14,PO511971,"9,947.30"
OFFICE OF CONTRACTING AND PROCUREMENT,9625800:Professional Services (Not Otherwise Classified),MIDTOWN PERSONNEL INC,24-Oct-14,PO508392,"8,333.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"2077984:TONER CARTRIDGES, LASER JET PRINTER, REMANUFACTURED",MDM Office Systems DBA Standard Office Supply,5-Dec-14,PO512099,151.38
DEPARTMENT OF GENERAL SERVICES,"9092400:Building Construction, Commercial and Institutional",COAKLEY & WILLIAMS CONST.,11-Dec-14,PO481574-V4,"250,000.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"MCN BUILD, LLC",11-Feb-15,PO515514,"944,834.40"
DEPARTMENT OF PUBLIC WORKS,"9989400:Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses)",GENERAL SERVICE ADMINISTRATION,8-Jan-15,PO513848,"38,036.60"
DEPARTMENT OF PUBLIC WORKS,9687200:Snow and Ice Removal Services,TONG TRUCKING,1-Oct-14,PO505579,"7,800.00"
DEPARTMENT OF PUBLIC WORKS,"0708755:PARTS AND ACCESSORIES, SEMI-TRAILER GLAD HAND",POSNER INDUSTRIES INC,13-Feb-15,PO515674,"5,455.00"
PUBLIC EMPLOYEE RELATIONS BOARD,9612458:PROFESSIONAL COURT REPORTER SERVICES,"OLENDER REPORTING, INC.",21-Oct-14,PO507811,"5,000.00"
CHILD AND FAMILY SERVICES AGENCY,"9617539:TRANSLATION SERVICES, ENGLISH TO FRENCH",COMPREHENSIVE LANGUAGE CENTER,1-Oct-14,PO505418,"8,000.00"
CHILD AND FAMILY SERVICES AGENCY,9072800:Communications Systems; TV; Microwave; Telephone; Computer,"MVS, Inc.",14-Nov-14,PO510334,"12,679.92"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",GRAYBAR ELECTRIC CO INC,3-Nov-14,PO507140-V2,448.19
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",12-Feb-15,PO504892-V2,"35,323.42"
D.C. NATIONAL GUARD,"4853488:WASH AND WAX SOAP, FOR STEAM CLEAN, CAR WASH",VAN-TECH INDUSTRIES LLC,11-Dec-14,PO512505,540
DEPARTMENT OF EMPLOYMENT SERVICES,"2093852:SOFTWARE, MAINFRAME, DATABASE, LATEST VERSION OR RELEASE LISTED",ON POINT TECHNOLOGY INC,23-Dec-14,PO513306,"980,000.00"
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,URBAN ALLIANCE FOUNDATION,28-Jan-15,PO514784,"24,500.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"3305573:FENCE, SAFETY",MICON CONSTRUCTIONS INC,6-Nov-14,PO509614,"4,687.50"
DEPARTMENT OF HEALTH CARE FINANCE,9183200:Consulting Services (Not Otherwise Classified),"Xerox State Healthcare, LLC",4-Mar-15,PO514975-V2,0
DEPARTMENT OF HEALTH,"9155957:PICKUP CHARGES, CARRIER (EXPRESS MAIL)",FEDERAL EXPRESS,10-Oct-14,PO507014,"24,000.00"
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),Start @ Westminister,1-Oct-14,PO505384,"75,000.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","BLOSSOM SERVICES, INC.",19-Dec-14,PO513133,"15,614.40"
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),PLANNED PARENTHOOD OF METRO WA,17-Nov-14,PO509537,"3,000.00"
OFFICE OF ZONING,9612458:PROFESSIONAL COURT REPORTER SERVICES,NEAL R GROSS & CO INC,14-Nov-14,PO510241,"3,185.65"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",FREDERIC YONNET,6-Nov-14,PO509632,"10,000.00"
FIRE AND EMERGENCY MEDICAL SERVICES,"3458008:BREATHING APPARATUS, NIOSH/OSHA APPROVED",MUNICIPAL EMRGENCY SERVICES,11-Feb-15,PO514420,"50,000.00"
FIRE AND EMERGENCY MEDICAL SERVICES,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",TargetSafety,28-Nov-14,PO511602,"82,500.00"
DC PUBLIC LIBRARY,9625800:Professional Services (Not Otherwise Classified),"HISTORY ALIVE, INC",11-Feb-15,PO515542,"1,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,G-LAND UNIFORMS INC.,6-Feb-15,PO515279,188
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4950700:Agricultural Science Equipment: Diffusive Resistance Meters, Leaf Porometers and Water Potential Measuring Equipment, Seed Counters and Germinators, Soil Sterilizers, etc.",CAROLINA BIOLOGICAL SUPPLY COM,9-Feb-15,PO515305,348.64
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,CHAZ D. GREEN,30-Dec-14,PO513576,"5,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4757321:BAGS, PLASTIC, HOT PACK",MEDCO INC,24-Dec-14,PO513367,73.4
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0504045:MISCELLANEOUS DRAWING AND PAINTING SUPPLIES,"SKY,LLC DBA/US-OFFICE SOLUTION",4-Dec-14,PO511941,19.1
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6401031:MAILERS, DISKETTE, CARDBOARD",THERAPRO,15-Jan-15,PO514197,27.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851110:CLEANER AND DETERGENT, PASTE (SOFT VEGETABLE SOAP)",General Merchandise Supplies,9-Oct-14,PO506870,345.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857234:LECTERNS, W/SOUND SYSTEMS",WASHINGTON MUSIC CENTER,4-Dec-14,PO512034,80
OFFICE OF RISK MANAGEMENT,9625800:Professional Services (Not Otherwise Classified),"HOLDER ENTERPRISES, INC.",14-Nov-14,PO510402,"35,740.80"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,The Achievement Network,20-Nov-14,PO510733,"25,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,PATRICIA S HARVEY,2-Dec-14,PO511742,"1,450.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,4850300:Adhesive Removers,AMERICAN EXPRESS COMPANY,17-Nov-14,PO510575,"15,700.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9102737:GARBAGE/TRASH REMOVAL SERVICES FOR OHIO DEVELOPMENTAL CENTERS,"SHRED-IT USA, INC.",19-Dec-14,PO513195,23.1
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507700,43.08
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,SCANTRON CORPORATION,13-Jan-15,PO514019,"9,937.20"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BINDERS, RECYCLED, 3 RING, LOOSE LEAF, POLYETHYLENE FLEXIBLE COVER FOR 11 IN. X 8-1/2 IN. SHEETS,. AVAILABLE IN ROYAL BLUE, WHITE, BLACK, GREEN, AND RED",MDM Office Systems DBA Standard Office Supply,29-Oct-14,PO508749,440.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",29-Dec-14,PO513538,139.32
DEPARTMENT OF FORENSICS SCIENCES,9388550:MAINTENANCE AND REPAIR OF ROBOTICS SYSTEMS,"Tecan US, Inc.",19-Dec-14,PO513167,"17,647.00"
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,THE HAMILTON GROUP,12-Nov-14,PO510043,"2,985.00"
METROPOLITAN POLICE DEPARTMENT,"9485550:MEDICAL SERVICES, PHYSICAL EXAMINATION",PFC ASSOCIATES LLC,21-Oct-14,PO506983,"3,625,000.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Kramer Consulting Services PC,27-Oct-14,PO508418,"350,000.00"
DEPARTMENT OF GENERAL SERVICES,9073500:Designing Services,"BELL ARCHITECTS, PC",30-Dec-14,PO513588,"41,872.81"
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9264200:Environmental Services (Not Otherwise Classified),ANACOSTIA WATERSHED SOCIETY,19-Dec-14,PO513158,"32,650.00"
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment","SAFETY-KLEEN SYSTEMS, INC.",3-Oct-14,PO506119,"30,000.00"
METROPOLITAN POLICE DEPARTMENT,9815600:Police Equipment Supplies Rental or Lease,"Atlantic Tactical, Inc",27-Jan-15,PO514654,320.59
METROPOLITAN POLICE DEPARTMENT,9614677:SPANISH TO ENGLISH INTERPRETER SERVICES,MULTICULTURAL COMMUNITY SERVIC,1-Oct-14,PO505343,"30,000.00"
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",2-Dec-14,PO511749,"50,540.80"
HOMELAND SECURITY GRANTS,9365700:Police Equipment Maintenance and Repair,"Elsag North America, LLC",26-Nov-14,PO511437,"25,000.00"
DEPARTMENT OF MOTOR VEHICLES,9188300:Organizational Development Consulting,REVECORP INC.,28-Oct-14,PO508531,"170,000.00"
DEPARTMENT OF MOTOR VEHICLES,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"SAP Public Services, Inc",3-Nov-14,PO509224,"50,058.31"
SPECIAL EDUCATION TRANSPORTATION,"0703615:SCHOOL BUSES, SMALL",GENERAL SERVICE ADMINISTRATION,18-Nov-14,PO490858-V4,"1,996.77"
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,0
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,15-Dec-14,PO512663,173.7
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,"OLENDER REPORTING, INC.",10-Oct-14,PO492784-V2,25
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,"0523200:Fabric Designs (Silk Screen, etc.)",THE AQUILINE GROUP,16-Dec-14,PO512812,200
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",Dell Computer Corp.,7-Nov-14,PO509818,"11,847.50"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",26-Nov-14,PO506570-V2,"97,593.12"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",GRAYBAR ELECTRIC CO INC,12-Nov-14,PO510120,749.47
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",15-Dec-14,PO512713,"10,838.96"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",15-Dec-14,PO512713,"32,272.80"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",University of Mangement & Tech,16-Dec-14,PO512760,"1,500.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9852887:RENTAL OF WATER COOLERS,NESTLE WATERS AMERICA INC.,30-Oct-14,PO505997-V2,"2,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Martin & Martin Residential,7-Oct-14,PO506413,"213,380.46"
DEPARTMENT OF CORRECTIONS,"2003258:JUMPSUITS, PATIENT, MEN'S, HOSPITAL",AMERICAN SUPPLY COMPANY,23-Dec-14,PO513304,"9,775.00"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),DEXTER POWELL,7-Nov-14,PO509844,495
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),"Us Helping Us, People Into Living, Inc",1-Oct-14,PO505275,"100,000.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",AGAPE HEALTHCARE SERVICES INC.,2-Dec-14,PO511835,500
DEPARTMENT OF TRANSPORTATION,9189600:Transportation Consulting,PEOPLECLICK INC.,12-Nov-14,PO510058,"7,245.00"
DEPUTY MAYOR FOR PLANNING AND ECON DEV,9625800:Professional Services (Not Otherwise Classified),"CH2M Hill, Inc.",4-Nov-14,PO505265,"59,018.38"
STATE SUPERINTENDENT OF EDUCATION (OSSE),"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,21-Jan-15,PO514385,"3,147.12"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077248:LABELS, LASER PRINTER, FOR FILE FOLDERS, PERMANENT, SELF-ADHESIVE",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Nov-14,PO510256,595.35
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0504021:BRUSHES, SABELINE WATERCOLOR, OX-HAIR, HARDWOOD HANDLE",SCHOOL SPECIALTY,26-Feb-15,PO514258-V2,26.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,"KAPLAN COMPANIES, INC.",20-Feb-15,PO510178-V2,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008554:SHIRTS, UNIFORM, 65/35, 6 OZ. TWILL, WRINKLE FREE, 2 BREAST POCKETS",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514085,82.9
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",DC SCORES,8-Oct-14,PO506723,"51,760.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",BSN SPORTS,18-Feb-15,PO515755,69.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045454:MICROCOMPUTER PARTS, ACCESSORIES AND OPTIONAL EQUIPMENT",Dell Computer Corp.,4-Dec-14,PO512014,629.85
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6055752:TRIMMERS, PAPER, ROTARY DRIVE TYPE, ENCLOSED CUTTER, SELF SHARPENING, 1/2 IN. CALIBRATION, METAL TOP RULER",SCHOOL SPECIALTY,13-Nov-14,PO510262,83.12
DEPARTMENT OF HUMAN SERVICES,9523900:Employment Generating Activities,Career T.E.A.M. LLC,3-Mar-15,PO516400,"570,910.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9674500:Janitorial Products Manufacturing Services,General Merchandise Supplies,26-Nov-14,PO511445,74.28
